(0,2x)!(0,0)!(e,0)!(0,0)!(ex,0)!(0,0)!;(0,2x)(e,0)(ex,0);(0,2x)(e,4)(ax,0);(0,2x)(e,2)(ax,2)
(0,4x)!(0,0)!(c,0)!(0,0)!(ex,0)!(0,0)!;(0,4x)(c,0)(ex,0);(2,4x)(a,4)(ax,0);(2,4x)(a,2)(ax,2)
(0,6)!(0,0)!(c,0)!(0,0)!(c,0)!(0,0)!;(0,6)(c,0)(c,0);(2,3x)(a,0)!(0,3x)!(c,0);(2,3x)(a,0)!(0,2)!(c,0)!(0,1x)!
(0,6)!(0,0)!(e,0)!(0,0)!(a,0)!(0,0)!;(0,6)(e,0)(a,0);(2,3x)(e,0)!(0,3x)!(8,0);(2,3x)(e,0)!(0,2)!(8,0)!(0,1x)!
(0,8x)!(0,0)!(8,0)!(0,0)!(ex,0)!(0,0)!;(0,8x)(8,0)(ex,0);(2,6x)(8,4)(ax,0);(2,6x)(8,2)(ax,2)
(0,8x)!(0,0)!(ax,0)!(0,0)!(c,0)!(0,0)!;(0,8x)(ax,0)(c,0);(2,6x)(6x,4)(c,0);(2,6x)(6x,2)(c,2)
(0,8x)!(0,0)!(e,0)!(0,0)!(8x,0)!(0,0)!;(0,8x)(e,0)(8x,0);(2,6x)(e,4)(4x,0);(2,6x)(e,2)(4x,2)
(0,ax)!(0,0)!(6,0)!(0,0)!(ex,0)!(0,0)!;(0,ax)(6,0)(ex,0);(2,ax)(4,4)(ax,0);(2,ax)(4,2)(ax,2)
(0,ax)!(0,0)!(ax,0)!(0,0)!(a,0)!(0,0)!;(0,ax)(ax,0)(a,0);(2,ax)(6x,4)(8,0);(2,ax)(6x,2)(8,2)
(0,ax)!(0,0)!(c,0)!(0,0)!(8x,0)!(0,0)!;(0,ax)(c,0)(8x,0);(2,ax)(a,4)(4x,0);(2,ax)(a,2)(4x,2)
(0,c)!(0,0)!(6,0)!(0,0)!(c,0)!(0,0)!;(0,c)(6,0)(c,0);(2,8)(4,4)(c,0);(2,8)(4,2)(c,2)
(0,c)!(0,0)!(8,0)!(0,0)!(a,0)!(0,0)!;(0,c)(8,0)(a,0);(2,8)(8,4)(8,0);(2,8)(8,2)(8,2)
(0,c)!(0,0)!(c,0)!(0,0)!(6,0)!(0,0)!;(0,c)(c,0)(6,0);(2,8)(a,4)(6,0);(2,8)(a,2)(6,2)
(0,c)!(0,0)!(e,0)!(0,0)!(4,0)!(0,0)!;(0,c)(e,0)(4,0);(0,8)!(1x,0)!(e,4)(3x,0);(0,8)!(1x,0)!(e,2)(3x,2)
(0,ex)!(0,0)!(2,0)!(0,0)!(ex,0)!(0,0)!;(0,ex)(2,0)(ex,0);(2,cx)(2,4)(ax,0);(2,cx)(2,2)(ax,2)
