(0,0)!(0,0)!(0,0)!(0,0)!([66],0)!(0,0)!;(0,0)(0,0)([66],0);(0,0)!([3x3x],0);(0,0)!([22],0)([1x1x],0)!([3x3x],0)
(0,0)!(0,0)!(0,0)!(0,0)!(c,0)!(0,0)!;(0,0)(0,0)(c,0);(4,0)(0,0)(8,0);(2,0)(2,0)(8,0)
(0,0)!(0,0)!(0,0)!(0,1)!([56],0)!(0,0)!;(0,0)(0,0)!(0,1)!([56],0);(0,0)!(3x,0)(0,1)!([13x],0)!(0,4)!;(0,0)!(2,2)(1x,1)!([13x],0)!(0,2)!
(0,0)!(0,0)!(0,0)!(0,1)!([65],0)!(0,0)!;(0,0)(0,0)!(0,1)!([65],0);(0,0)!(3x,0)(0,1)!([3x1],0)!(0,4)!;(0,0)!(2,2)(1x,1)!([3x1],0)!(0,2)!
(0,0)!(0,0)!(0,0)!(0,1)!(b,0)!(0,0)!;(0,0)(0,0)!(0,1)!(b,0);(0,0)(0,0)!(0,1)!(7,0)!(0,4)!;(0,0)!(0,2)(0,1)!(7,0)!(0,2)!
(0,0)!(0,0)!(0,0)!(0,6)!(6,0)!(0,0)!;(0,0)(0,0)!(0,6)!(6,0);(0,3x)!(3x,0);(0,2)!(2,0)!(0,1x)!(1x,3x)!(3x,0)
(0,0)!(0,0)!(0,0)!(0,7)!(5,0)!(0,0)!;(0,0)(0,0)!(0,7)!(5,0);(4,0)(0,0)!(0,3)!(1,0)!(0,4)!;(2,0)!(0,2)!(2,0)!(0,3)!(1,0)!(0,2)!
(0,0)!(0,0)!(0,0)!(0,[11])!([55],0)!(0,0)!;(0,0)(0,0)!(0,[11])!([55],0);(0,0)(0,0)!(0,[11])!([11],0)!(0,[44])!;(0,0)!(0,[22])(0,[11])!([11],0)!(0,[22])!
(0,0)!(0,0)!(0,0)!(0,[16])!(5,0)!(0,0)!;(0,0)(0,0)!(0,[16])!(5,0);(0,3x)(0,0)!(0,[13x])!(1,0)!(0,4)!;(0,2)!(0,2)!(0,1x)!(0,[13x])!(1,0)!(0,2)!
(0,0)!(0,0)!(0,0)!(0,[61])!(5,0)!(0,0)!;(0,0)(0,0)!(0,[61])!(5,0);(0,3x)(0,0)!(0,[3x1])!(1,0)!(0,4)!;(0,2)!(0,2)!(0,1x)!(0,[3x1])!(1,0)!(0,2)!
(0,0)!(0,0)!(0,0)!(0,[66])!(0,0)!(0,0)!;(0,0)(0,0)!(0,[66])(0,0)!;(0,[3x3x])(0,0)!;(0,[22])(0,[1x1x])!(0,[3x3x])(0,0)!
(0,0)!(0,0)!(0,0)!(0,c)!(0,0)!(0,0)!;(0,0)(0,0)!(0,c)(0,0)!;(0,0)(0,0)!(0,8)(0,4)!;(0,0)!(0,2)(0,8)(0,2)!
(0,0)!(0,0)!(1,0)!(0,1)!([46],0)!(0,0)!;(0,0)(1,0)!(0,1)!([46],0);(0,0)!(1x,0)!(1,0)!(0,1)!([3x6],0);(0,0)!(1x,0)!(1,0)!(0,1)!([3x6],0)
(0,0)!(0,0)!(1,0)!(0,1)!([64],0)!(0,0)!;(0,0)(1,0)!(0,1)!([64],0);(0,0)!(1x,0)!(1,0)!(0,1)!([63x],0);(0,0)!(1x,0)!(1,0)!(0,1)!([63x],0)
(0,0)!(0,0)!(1,0)!(0,1)!(a,0)!(0,0)!;(0,0)(1,0)!(0,1)!(a,0);(2,0)(1,0)!(0,1)!(8,0);(2,0)(1,0)!(0,1)!(8,0)
(0,0)!(0,0)!(1,0)!(0,5)!(6,0)!(0,0)!;(0,0)(1,0)!(0,5)!(6,0);(2,0)(1,0)!(0,3)!(6,0);(2,0)(1,0)!(0,3)!(6,0)
(0,0)!(0,0)!(1,0)!(0,7)!(4,0)!(0,0)!;(0,0)(1,0)!(0,7)!(4,0);(0,0)!(1x,0)!(1,0)!(0,7)!(3x,0);(0,0)!(1x,0)!(1,0)!(0,7)!(3x,0)
(0,0)!(0,0)!(1,0)!(0,[11])!([45],0)!(0,0)!;(0,0)(1,0)!(0,[11])!([45],0);(0,0)!(1x,0)!(1,0)!(0,[11])!([3x1],0)!(0,4)!;(0,0)!(1x,2)!(1,0)!(0,[11])!([3x1],0)!(0,2)!
(0,0)!(0,0)!(1,0)!(0,[11])!([54],0)!(0,0)!;(0,0)(1,0)!(0,[11])!([54],0);(0,0)!(1x,0)!(1,0)!(0,[11])!([13x],0)!(0,4)!;(0,0)!(1x,2)!(1,0)!(0,[11])!([13x],0)!(0,2)!
(0,0)!(0,0)!(1,0)!(0,[15])!(5,0)!(0,0)!;(0,0)(1,0)!(0,[15])!(5,0);(2,0)(1,0)!(0,[13])!(1,0)!(0,4)!;(2,0)!(0,2)!(1,0)!(0,[13])!(1,0)!(0,2)!
(0,0)!(0,0)!(1,0)!(0,[16])!(4,0)!(0,0)!;(0,0)(1,0)!(0,[16])!(4,0);(0,3x)!(1x,0)!(1,0)!(0,[13x])!(3x,0);(0,2)!(1x,0)!(1,1x)!(0,[13x])!(3x,0)
(0,0)!(0,0)!(1,0)!(0,[51])!(5,0)!(0,0)!;(0,0)(1,0)!(0,[51])!(5,0);(2,0)(1,0)!(0,[31])!(1,0)!(0,4)!;(2,0)!(0,2)!(1,0)!(0,[31])!(1,0)!(0,2)!
(0,0)!(0,0)!(1,0)!(0,[56])!(0,0)!(0,0)!;(0,0)(1,0)!(0,[56])(0,0)!;(0,3x)(1,0)!(0,[13x])!(4,0);(2,2)(1,1x)!(0,[13x])!(2,0)
(0,0)!(0,0)!(1,0)!(0,[61])!(4,0)!(0,0)!;(0,0)(1,0)!(0,[61])!(4,0);(0,3x)!(1x,0)!(1,0)!(0,[3x1])!(3x,0);(0,2)!(1x,0)!(1,1x)!(0,[3x1])!(3x,0)
(0,0)!(0,0)!(1,0)!(0,[65])!(0,0)!(0,0)!;(0,0)(1,0)!(0,[65])(0,0)!;(0,3x)(1,0)!(0,[3x1])!(4,0);(2,2)(1,1x)!(0,[3x1])!(2,0)
(0,0)!(0,0)!(1,0)!(0,b)!(0,0)!(0,0)!;(0,0)(1,0)!(0,b)(0,0)!;(0,0)(1,0)!(0,7)!(4,0);(2,0)(1,0)!(0,7)!(2,0)
